Time [s],CLK,A13,A14,A15,MODE0,MODE1,IOM,POWER,STATE0,STATE1,ROM0_CS,RAM0_CS,RAM1_CS,BSRE,ROM1_CS,RDY
29.162771600,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1
29.164821600,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1
29.169863400,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1
29.174903800,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1
29.179971200,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1
29.182036800,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1
29.182044400,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1
29.184093000,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1
29.189135000,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1
29.194176800,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1
29.199245000,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1
29.201319000,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1
29.203368000,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1
29.208409600,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1
29.213450000,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1
29.218513600,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1
29.220572000,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1
29.220580200,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1
29.220588200,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1
29.222638600,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1
29.227678000,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1
29.232719800,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1
29.237786000,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1
29.239861200,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1
29.241910400,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1
29.246949800,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1
29.251989600,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1
29.257056400,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1
29.259120000,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1
29.259128000,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1
29.261177600,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1
29.266217800,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1
29.271258600,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1
29.276325800,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1
29.277402600,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1
29.279452200,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1
29.284477800,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1
29.289518800,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1
29.294585000,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1
29.294592200,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.299639400,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.304706200,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.306761400,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.306770600,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.306778600,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.308830000,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.313869600,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.318909400,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.323975400,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.326051400,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.328101600,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.333141400,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.338180400,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.343252800,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
29.345254000,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.345262000,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.347311600,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.352352800,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.357394000,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.362460800,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.364532600,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.366583600,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.371623600,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.376663400,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.381730400,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
29.383788000,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.383795600,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.383803600,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.385856000,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.390897200,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.395936600,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.401004000,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.403079600,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
29.405128600,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
